"优先级","网址","页面类型","评分","发布日期/更新日","词数","文章内链入站","正文内链","外部证据链接","判定依据","建议动作"
"A","https://worldcleanbiz.com/blog/car-vacuum-cleaner-oem-odm-guide","文章","11","2026-07-25","3031","3","4","8","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/commercial-floor-scrubber-buying-guide","文章","11","2026-07-24","3010","4","7","7","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/cordless-vs-corded-robotic-pool-cleaners","文章","11","2026-07-20","2791","13","4","10","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/dolphin-vs-aiper-maytronics-fluidra","文章","11","2026-07-19","2919","3","6","12","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/floor-scrubber-rental-vs-buy","文章","11","2026-07-24T09:01:00+08:00","2574","3","6","5","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/floor-sweeper-vs-floor-scrubber","文章","11","2026-07-21","2644","7","4","7","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/portable-carpet-cleaner-buying-guide","文章","11","2026-07-25","2448","7","5","3","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/roborock-vs-ecovacs-robot-vacuums","文章","11","2026-07-26","2145","3","4","5","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robot-vacuum-manufacturing-cost","文章","11","2026-07-24","3098","11","7","8","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robot-vacuum-oem-odm-guide","文章","11","2026-07-25","2385","9","5","5","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robotic-lawn-mower-manufacturers-china","文章","11","2026-06-15T16:09:04+08:00","3516","22","15","3","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robotic-pool-cleaner-cost-buying-guide","文章","11","2026-07-25","2524","3","6","9","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robotic-pool-cleaner-oem-odm-guide","文章","11","2026-07-25","3077","4","4","7","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/robotic-vs-suction-vs-pressure-pool-cleaners","文章","11","2026-07-20","3271","5","6","22","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/rtk-vs-lidar-robot-lawn-mowers","文章","11","2026-07-23","3359","11","5","11","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/spot-cleaner-oem-odm-guide","文章","11","2026-07-25","2489","7","4","6","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/tineco-vs-bissell-crosswave-floor-washers","文章","11","2026-07-25","2362","3","5","4","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/walk-behind-vs-ride-on-floor-scrubber","文章","11","2026-07-23","2503","3","5","7","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-makes-kobalt-tools-lowes-suppliers","文章","11","2026-08-03","2109","8","4","8","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-aeg-electrolux-relationship","文章","11","2026-07-18","2079","4","4","7","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
"A","https://worldcleanbiz.com/blog/who-owns-bosch-appliances-bsh-siemens-brands","文章","11","2026-08-08","2203","5","4","9","指南型内容；商业/采购意图；内容深度高；站内引用较强","优先加强首页/指南/品牌页入口并在GSC抽样请求抓取"
